Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
0.0055875 -14.9101 -13.8315 -9.34991 
0.0055975 -17.8581 -15.4914 -9.88584 
0.0056075 -17.0745 -15.3735 -10.1454 
0.0056175 -15.2705 -13.1482 -8.31221 
0.0056275 -15.799 -13.8833 -8.95261 
0.0056375 -17.153 -15.5826 -10.3644 
0.0056475 -15.322 -12.7763 -7.82229 
0.0056575 -17.8143 -15.891 -10.4048 
0.0056675 -15.6756 -14.368 -9.61908 
0.0056775 -14.7609 -12.3999 -7.64455 
0.0056875 -17.245 -15.5834 -10.317 
0.0056975 -16.1031 -14.1611 -9.13943 
0.0057075 -16.8255 -14.0779 -8.66106 
0.0057175 -15.7048 -14.4852 -9.74913 
0.0057275 -16.6353 -14.9371 -9.82858 
0.0057375 -15.8258 -14.51 -9.7168 
0.0057475 -14.5155 -13.488 -9.12476 
0.0057575 -17.099 -14.9871 -9.64959 
0.0057675 -16.161 -14.8925 -10.0184 
0.0057775 -14.1786 -13.3755 -9.15891 
0.0057875 -17.8619 -15.888 -10.3743 
0.0057975 -16.5155 -14.9519 -9.90775 
0.0058075 -16.103 -14.3608 -9.38604 
0.0058175 -14.9866 -13.4286 -8.80504 
0.0058275 -16.5704 -15.3777 -10.4087 
0.0058375 -15.6328 -13.6661 -8.76508 
0.0058475 -15.9523 -15.0584 -10.3315 
0.0058575 -16.2973 -14.7305 -9.74444 
0.0058675 -14.4652 -13.3454 -8.97113 
0.0058775 -15.8557 -14.2291 -9.34918 
0.0058875 -15.374 -14.3073 -9.69619 
0.0058975 -16.3026 -15.0049 -10.0823 
0.0059075 -15.8719 -14.3163 -9.44875 
0.0059175 -14.6965 -14.2331 -9.95466 
0.0059275 -15.9718 -15.1349 -10.415 
0.0059375 -15.0515 -14.8223 -10.5032 
